,s0
(Intercept),-54.54051599
KRTAP10.3,1.46463208
RIMBP3B,-1.319131921
H3C10,1.310802646
HPCA,-1.245598433
TAP1,1.030082856
CALHM3,-0.892250305
IFI27,0.786878975
SLC9A3,0.617856266
