"","s0"
"(Intercept)",3.98911664231354
"CXCL9",0.00605208074443598
"HLA.F",0.00689790195936474
"POMZP3",-0.020057084288215
"APOC2",-0.0028825780630326
"IGFBP5",-0.00621846825541369
"SOX4",-0.00750547844176638
"UBD",0.00340861305524473
