"","s0"
"(Intercept)",0.14378727834752
"BCAN",-0.00319871733594458
"HSPA6",0.00920299689363324
"HLA.F",-0.00315162287625567
"IGFBP5",-0.00216465897956911
"HLA.G",0.0278429964159934
"FSTL1",-0.0165718513126216
"BGN",-0.0368069374819031
"UBD",0.00966613039867607
