"","s0"
"(Intercept)",-17.9772903081535
"HPCA",-0.283468392463667
"CD74",-0.00355524183473006
"SERPINA1",0.208994563965646
"IFI27",0.282506698397835
"CXCL9",0.0460752282921476
"PTBP1",0.00164451004466023
"GBP5",0.227984149552609
"H3C10",0.15457740977985
